<latex> Definition (13.1.1): The Distance Formula in Three Dimensions </latex>	<latex> $d(P_{1}, P_{2}) = \sqrt{x_{2} - x_{1})^{2} + (y_{2} - y_{1})^{2} + (z_{2} - z_{1})^{2}}$ </latex>
<latex> Theorem (16.3.4): The Chain Rule for Functions of Several Variables </latex>	<latex> If $f$ is continuously differentiable on an open set $U$ and $\overrightarrow{r} = \overrightarrow{r}(t)$ is adifferentiable curve that lies in $U$, then the composition $f \circ \overrightarrow{r}$ is differentiable and$$\frac{d}{dt}[f(\overrightarrow{r}(t))] = \bigtriangledown f(\overrightarrow{r}(t)) \cdot \overrightarrow{r}'(t)$$ </latex>
<latex> Theorem (16.3.5): The Chain Rule for Functions of Three Variables </latex>	<latex> $$\frac{d}{dt}[u(\overrightarrow{r}(t))] = \bigtriangledown u(\overrightarrow{r}(t)) \cdot \overrightarrow{r}'(t)$$can be rewritten as$$\frac{du}{dt} = \frac{\partial u}{\partial x} \frac{dx}{dt} + \frac{\partial u}{\partial y} \frac{dy}{dt} + \frac{\partial u}{\partial z} \frac{dz}{dt}$$ </latex>
<latex> Theorem (16.3.6): The Chain Rule for Functions of Two Variables </latex>	<latex> $$\frac{d}{dt}[u(\overrightarrow{r}(t))] = \bigtriangledown u(\overrightarrow{r}(t)) \cdot \overrightarrow{r}'(t)$$can be rewritten as$$\frac{du}{dt} = \frac{\partial u}{\partial x} \frac{dx}{dt} + \frac{\partial u}{\partial y} \frac{dy}{dt}$$ </latex>
<latex> Theorem (16.3.7): Chain Rule of a Function of Two Functions of Two Variables </latex>	<latex> $$\text{if } u = u(x, y) \text{ and } x = x(s, t) \text{ and } y = y(s, t)$$then$$\frac{\partial u}{\partial s} = \frac{\partial u}{\partial x} \frac{\partial x}{\partial s} + \frac{\partial u}{\partial y} \frac{\partial y}{\partial s} \text{ and } \frac{\partial u}{\partial t} = \frac{\partial u}{\partial x} \frac{\partial x}{\partial t} + \frac{\partial u}{\partial y} \frac{\partial y}{\partial t}$$ </latex>
<latex> Theorem (16.3.8): Chain Rule on a Function of Three Functions of Two Variables </latex>	<latex> $$\text{if } u = u(x, y) \text{ and } x = x(s, t) \text{ and } y = y(s, t) \text{ and } z = z(s,t)$$then$$\frac{\partial u}{\partial s} = \frac{\partial u}{\partial x} \frac{\partial x}{\partial s} + \frac{\partial u}{\partial y} \frac{\partial y}{\partial s} + \frac{\partial u}{\partial z} \frac{\partial z}{\partial s} \text{ and } \frac{\partial u}{\partial t} = \frac{\partial u}{\partial x} \frac{\partial x}{\partial t} + \frac{\partial u}{\partial y} \frac{\partial y}{\partial t} + \frac{\partial u}{\partial z} \frac{\partial z}{\partial t}$$ </latex>
<latex> Theorem (16.3.9): (?) </latex>	<latex> If $u = u(x,y)$ is continuously differentiable, and $y$ is a differentiablefunction of $x$ that satisfies the equation $u(x,y) = 0$, then at all points$x, y$ where $\partial u / \partial y \neq 0$,$$ \frac{dy}{dx} = -\frac{\partial u / \partial x}{\partial u / \partial y}$$ </latex>
<latex> Theorem (16.3.10): (?) </latex>	<latex> If $u = u(x,y, z)$ is continuously differentiable, and $z = z(x, y)$ is a differentiablefunction that satisfies the equation $u(x,y, z) = 0$, then at all points$(x, y, z)$ where $\partial u / \partial z \neq 0$,$$ \frac{\partial z}{\partial x} = -\frac{\partial u / \partial x}{\partial u / \partial z} \text{ and } \frac{\partial z}{\partial y} = -\frac{\partial u / \partial y}{\partial u / \partial z}$$ </latex>
<latex> Theorem (16.4.1): The Gradient Vector is Related to the Level Curve </latex>	<latex> At each point of the domain, the gradient vector $\bigtriangledown f$, if not $\overrightarrow{0}$,is perpendicular to the level curve of $f$ that passes throughthat point. </latex>
<latex> Theorem (16.4.2): The Gradient Evaluated at a Particular Point in Relation to the Partials </latex>	<latex> $$\bigtriangledown f(x_{0}, y_{0}) = \frac{\partial f}{\partial x}(x_{0}, y_{0})\overrightarrow{i} + \frac{\partial f}{\partial y}(x_{0}, y_{0})\overrightarrow{j} </latex>
<latex> Theorem (16.4.3): Equation for the Normal Vector </latex>	<latex> $$\overrightarrow{t}(x_{0}, y_{0}) = \frac{\partial f}{\partial y}(x_{0}, y_{0})\overrightarrow{i} - \frac{\partial f}{\partial x}(x_{0}, y_{0})\overrightarrow{j} </latex>
<latex> Theorem (16.4.4): Equation for the Tangent Line in Two Dimensions </latex>	<latex> A point $(x, y)$ will lie on the tangent line if and only if$$\frac{\partial f}{\partial x}(x_{0}, y_{0})(x-x_{0}) + \frac{\partial f}{\partial y}(x_{0}, y_{0})(y - y_{0}) = 0$$ </latex>
<latex> Theorem (16.4.5): Equation for the Normal Line </latex>	<latex> A point $(x, y)$ will lie on the normal line if and only if$$\frac{\partial f}{\partial y}(x_{0}, y_{0})(x-x_{0}) - \frac{\partial f}{\partial y}(x_{0}, y_{0})(y - y_{0}) = 0$$ </latex>
<latex> Theorem (16.4.6): The Gradient Vector in Relation to Level Surfaces </latex>	<latex> At each point of the domain, the gradient vector, if not $\overrightarrow{0}$, isperpendicular to the level surface that passes through that point. </latex>
<latex> Theorem (16.4.7): General Multivariable Equation for the Tangent Plane </latex>	<latex> A point $\overrightarrow{x}$ lies on the tangent plane through $\overrightarrow{x_{0}}$ if and only if$$\bigtriangledown f(\overrightarrow{x_{0}}) \cdot (\overrightarrow{x} - \overrightarrow{x_{0}}) = 0$$ </latex>
<latex> Theorem (16.4.8): Equation for the Tangent Plane in Three Dimensions </latex>	<latex> A point $(x, y, z)$ will lie on the tangent plane if and only if$$\frac{\partial f}{\partial x}(x_{0}, y_{0}, z_{0})(x-x_{0}) + \frac{\partial f}{\partial y}(x_{0}, y_{0}, z_{0})(y - y_{0}) + + \frac{\partial f}{\partial z}(x_{0}, y_{0}, z_{0})(z - z_{0}) = 0$$ </latex>
<latex> Theorem (16.4.9): General Multivariable Equation for the Normal Line </latex>	<latex> $\overrightarrow{r}(t) = \overrightarrow{r_{0}} + \bigtriangledown f(\overrightarrow{x_{0}})t \text{ and } \overrightarrow{r_{0}} = x_{0}\overrightarrow{i} + y_{0}\overrightarrow{j} + z_{0}\overrightarrow{k}$ </latex>
<latex> Theorem (16.4.10): Equations for the Normal Line in Scalar Parametric Form </latex>	<latex> $$x = x_{0} + \frac{\partial f}{\partial x}(x_{0}, y_{0}, z_{0})t$$$$y = y_{0} + \frac{\partial f}{\partial y}(x_{0}, y_{0}, z_{0})t$$$$z = z_{0} + \frac{\partial f}{\partial z}(x_{0}, y_{0}, z_{0})t$$ </latex>
<latex> Theorem (16.4.11): Equation for the Tangent Plane Rewritten in terms of $z - z_{0}$ </latex>	<latex> $z - z_{0} = \frac{\partial g}{\partial x}(x_{0}, y_{0})(x - x_{0}) + \frac{\partial g}{\partial y}(x_{0}, y_{0})(y - x_{0})$ </latex>
<latex> Theorem (16.4.12): Scalar Parametric Equations for the Line Normal to the Surface $z = g(x, y)$ at the point $(x_{0}, y_{0}, z_{0})$ </latex>	<latex> $$x = x_{0} + \frac{\partial g}{\partial x}(x_{0}, y_{0})t \text{ and } y = y_{0} + \frac{\partial g}{\partial y}(x_{0}, y_{0})t \text{ and } z = z_{0} + (-1)t </latex>
<latex> Definition (16.5.1): Local Extreme Values </latex>	<latex> Suppose that $f$ is a function of several variables and $x_{0}$ is an interior point ofthe domain.$\\$ The function $f$ is said to have a local maximum at $\overrightarrow{x_{0}}$ provided that$f(\overrightarrow{x_{0}}) \geq f(\overrightarrow{x})$ for all $\overrightarrow{x}$ in some neighborhood of $\overrightarrow{x}$ $\\$ $\\$ The function $f$ is said to have a local minimum at $\overrightarrow{x_{0}}$ provided that$f(\overrightarrow{x_{0}}) \leq f(\overrightarrow{x})$ for all $\overrightarrow{x}$ in some neighborhood of $\overrightarrow{x_{0}}$.The local maxima and minima of $f$ comprise the local extreme values of $f$. $\\$ </latex>
<latex> Theorem (16.5.2): Local Extreme Values and the Gradient </latex>	<latex> If $f$ has a local extreme value at $\overrightarrow{x_{0}}$, then$$\bigtriangledown f(\overrightarrow{x_{0}}) = 0 \text{ or } \bigtriangledown f(\overrightarrow{x_{0}}) \text{ does not exist.}$$ </latex>
<latex> Theorem (16.5.3): The Second Partials Test </latex>	<latex> Suppose that $f$ has continuous second-order partial derivatives in aneighborhood of $(x_{0}, y_{0})$ and $\bigtriangledown f(x_{0}, y_{0}) = 0$ Set$$ A = \frac{\partial^{2} f}{\partial x^{2}}(x_{0}, y_{0}) \text{   } B = \frac{\partial^{2} f}{\partial y \partial x}(x_{0}, y_{0}) \text{   } C = \frac{\partial^{2} f}{\partial y^{2}}(x_{0}, y_{0}) $$and form the discriminant $D = AC - B^{2}$$\\$ 1. If $D < 0$, then $(x_{0}, y_{0})$ is a saddle point.$\\$ 2. If $D > 0$, then $f$ has$\\$ a local minimum at $(x_{0}, y_{0})$ if $A>0$,$\\$ a local maximum at $(x_{0}, y_{0})$ if $A>0$. </latex>
<latex> Definition (16.6.1): Absolute Extreme Values </latex>	<latex> Suppose that $f$ is a function of several variables.$\\$ $f$ is said to have an absolute maximum at $\overrightarrow{x_{0}}$ provided that$\\$ $f(\overrightarrow{x_{0}}) \geq f(\overrightarrow{x}$ for all $\overrightarrow{x}$ in the domain of $f$ $\\$ $f$ is said to have an absolute minimum at $\overrightarrow{x_{0}}$ provided that$\\$ $f(\overrightarrow{x_{0}}) \leq f(\overrightarrow{x}$ for all $\overrightarrow{x}$ in the domain of $f$ </latex>
<latex> Definition (16.6.1): Bounded Subset </latex>	<latex> A subset $S$ of the plane or three-space is said to be bounded provided thereexists a positive number $R$ such that$$||X|| \leq R \text{ for all } \overrightarrow{x} \in S$$ </latex>
<latex> Theorem (16.6.3): The Extreme Value Theorem for Several Variables </latex>	<latex> If $f$ is continuous on a closed and bounded set $D$, then on that set $f$ takes onan absolute maximum and an absolute minimum. </latex>
<latex> Definition (17.1.1): Multiple Sigma Notation </latex>	<latex> $$\sum_{i=1}^{m} \sum_{j=1}^{n} a_{ij}$$means the sum of all the $a_{ij}$ where $i$ ranges from $1$ to $m$ and $j$ ranges from $1$ to $n$.  </latex>
<latex> Theorem (17.1.2): Multiple Sigma Notation Seperated </latex>	<latex> $$\sum_{i=1}^{m} \sum_{j=1}^{n} a_{ij} = \sum_{i=1}^{m} (\sum_{j=1}^{n} a_{ij}) $$ </latex>
<latex> Theorem (17.1.3): Factoring of Multiplication On Multiple Sigma Notations </latex>	<latex> $$ \sum_{i=1}^{m} \sum_{j=1}^{n} \alpha a_{ij} = \alpha \sum_{i=1}^{m} \sum_{j=1}^{n} a_{ij} $$ </latex>
<latex> Theorem (17.1.4): Factoring of Addition of Multiple Sigma Notations </latex>	<latex> $$ \sum_{i=1}^{m} \sum_{j=1}^{n} (a_{ij} + b_{ij}) = \sum_{i=1}^{m} \sum_{j=1}^{n} a_{ij} + \sum_{i=1}^{m} \sum_{j=1}^{n} b_{ij}$$ </latex>
<latex> Theorem (17.1.5): Double Sums Seperable into Two Seperate Single Sums </latex>	<latex> $$ \sum_{i=1}^{m} \sum_{j=1}^{n} (b_{i}c_{j}) = (\sum_{i=1}^{m} b_{i})(\sum_{j=1}^{n} c_{j})$$ </latex>
<latex> Definition (17.1.6): Triple Sigma Notation </latex>	<latex> $$\sum_{i=1}^{m} \sum_{j=1}^{n} \sum_{k=1}^{q} a_{ijk}$$means the sum of all the $a_{ij}$ where $i$ ranges from $1$ to $m$ and $j$ ranges from $1$ to $n$ and $k$ ranges from $1$ to $q$.  </latex>
<latex> Definition (17.2.1): Upper Sum of $f$ </latex>	<latex> $$U_{f}(P) = \sum_{i=1}^{m} \sum_{j=1}^{n} M_{ij} (\text{area of } R_{ij}) = \sum_{i=1}^{m} \sum_{j=1}^{n} M_{ij} \delta x_{i} \delta y_{j}$$where $M_{ij}$ is the maximum value of $f$ on the rectangle $R_{ij}$ </latex>
<latex> Definition (17.2.2): Lower Sum for $f$ </latex>	<latex> $$L_{f}(P) = \sum_{i=1}^{m} \sum_{j=1}^{n} m_{ij} (\text{area of } R_{ij}) = \sum_{i=1}^{m} \sum_{j=1}^{n} m_{ij} \delta x_{i} \delta y_{j}$$where $m_{ij}$ is the minimum value of $f$ on the rectangle $R_{ij}$ </latex>
<latex> Definition (17.2.3): The Double Integral Over a Rectangle $R$ </latex>	<latex> Let $f$ be continuous on a closed rectangle $R$. The unique number $I$ that satisfiesthe inequality$$L_{f}(P) \leq I \leq U_{f}(P) \text{ for all partitions } P \text{ of } R$$is called the double integral of $f$ over $R$, and is denoted by$$ \iint_{R} f(x, y) dxdy$$ </latex>
<latex> Theorem (17.2.9): Mean Value Condition </latex>	<latex> There is a point (x_{0},y_{0}) in \omega for which $$\iint_{\omega}f(x,y) dxdy = f(x_{0},y_{0}) (\text{area of }\omega)$$We then call f(x_{0},y_{0}) the average value of f on $\omega$ and we can say that $$\iint_{\omega}f(x,y) dxdy = (\text{the average value of } f $\text{ on } \omega)(\text{area of }\omega)$$ </latex>
<latex> Theorem (17.2.10): The Mean Value Theorem for Double Integrals </latex>	<latex> Let $f$ and $g$ be functions continuous on a basic region $\omega$. If $g$ is nonnegativeon $\omega$, then there exists a point $(x_{0},y_{0})$ in $\omega$ for which$$\iint_{\omega}f(x,y)g(x,y)dxdy = f(x_{0},y_{0})\iint_{\omega}g(x,y)dxdy$$We call $f(x_{0},y_{0})$ the g-weighted average of $f$ on $\omega$. </latex>
<latex> Theorem (17.3.1): The Evaluation of Double Integrals by Repeated Integrals (Projection Type 1 (Interval Over $x$)) </latex>	<latex> The projection of $\Omega$ onto the x-axis is closed interval $[a,b]$ and $\Omega$ consists of all points $(x, y)$ with $$ a \leq x \leq b \text{ and } \phi_{1} \leq y \leq \phi_{2} \text{, then }$$$$\iint_{\Omega} f(x, y) dxdy = \int_{a}^{b}(\int_{\phi_{1}(x)}^{\phi_{2}(x)} f(x, y)dy)dx$$ </latex>
<latex> Theorem (17.3.2): The Evaluation of Double Integrals by Repeated Integrals (Projection Type 1 (Interval Over $y$)) </latex>	<latex> The projection of $\Omega$ onto the y-axis is closed interval $[c,d]$ and $\Omega$ consists of all points $(x, y)$ with $$ c \leq y \leq d \text{ and } \psi_{1} \leq x \leq \psi_{2} \text{, then }$$$$\iint_{\Omega} f(x, y) dxdy = \int_{c}^{d}(\int_{\psi_{1}(y)}^{\psi_{2}(y)} f(x, y)dx)dy$$ </latex>
<latex> Theorem (17.3.3): Separated Variables Over a Rectangle </latex>	<latex> Let $R$ be a rectangle $a \leq x \leq b$, $c \leq y \leq d$. Then, if $f$ is continuous on $[a, b]$ and $g$ is continuous on $[c, d]$, then $$\iint_{R} f(x)g(x) dxdy = [\int_{a}^{b}f(x)dx][\int_{c}^{d}g(y)dy]$$ </latex>
<latex> Theorem (17.4.1): Double Integrals as the Limit of Sums </latex>	<latex> $$\iint_{\omega} f(x, y) dxdy = \lim_{\text{diam} \omega_{i} \to 0} \sum_{i = 1}^{n} f(x_{i}^{*}, y_{i}^{*})(\text{area of } \omega_{i})$$ </latex>
<latex> Theorem (17.4.2): Area of a Region in Polar Coordinates </latex>	<latex> $$\text{area of }\omega = \iint_{\Gamma} r drd\theta$$ </latex>
<latex> Theorem (17.4.3): The Double Integral of a Function in Cartesian Coordinates in Polar Coordinates </latex>	<latex> $\iint_{\omega} f(x, y) dxdy = \iint_{\Gamma} f( r cos(\theta), r sin(\theta))r dr d\theta$$ </latex>
<latex> Theorem (17.4.4): Special Integral $\int_{-\infty}^{\infty} e^{-x^{2}} dx$ </latex>	<latex> $\int_{-\infty}^{\infty} e^{-x^{2}} dx = \sqrt{\pi}$ </latex>
<latex> Definition (13.2.1): Vector Addition </latex>	<latex> For:$$\overrightarrow{a} = (a_{1}, a_{2}, a_{3}) \text{ and } \overrightarrow{b} = (b_{1}, b_{2}, b_{3})$$We define:$$\overrightarrow{a} + \overrightarrow{b} = (a_{1} +b_{1} , a_{2} + b_{2} , a_{3} + b_{3} )$$ </latex>
<latex> Definition (13.2.2): Vector Scalar Multiplication </latex>	<latex> For:$$\overrightarrow{a} = (a_{1}, a_{2}, a_{3}) \text{ and } \alpha \text{ real}$$we define$$\alpha \overrightarrow{a} = (\alpha a_{1}, \alpha a_{2}, \alpha a_{3})$$ </latex>
